#Cual(es) es(son) tu(tus) color(es) favorito(s)?
#Opciones	Votos

Verde_nilo      	11
Fucsia           	3
Azul            	11
Rojo            	2
Infrarrojo      	4
Verde_oscuro    	2
Blanco          	2
Morado          	6
Salmon          	2
Pizza           	4
Cafe            	3
Amarillo        	1
Naranjo         	2
Lila            	3
Burdeo          	4
CMB             	4
Fuzzy_Wuzzy_Brown	3
Cafe_osito      	1
Azul_electrico  	2
550nm           	6
Rayos_X         	4
Negro_brillante 	5
Gamma           	4
Gris            	3
Negro           	4
Rosa            	1
Verde_agua       	3
e-e+_->_e+e-    	6
Calipso         	2
#FF00FF         	2
Metallic_aquamarine	1
(B-V)_0          	4
Salado           	1
Dulce           	1
#AB03F3         	2
